work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
hc-64-3, 10, 200, 25, 10, 408.45, 7.21245239, 36, 5.128108, 214385, 38.4, 36.4
base-hc-64-3, 10, 200, 25, 10, 238.51, 4.29574929, , 0, , 37.6, 34.9
base-hc-64-3, 5, 400, 10, 10, 242.12, 4.30695087, , 0, , 37.9, 33.0
hc-64-3, 5, 400, 10, 10, 407.80, 7.25384625, 56, 0.186874000000003, 623562, 35.0, 32.5
base-hc-64-3, 5, 400, 10, 10, 233.46, 4.28797966, , 0, , 37.4, 33.0
hc-64-3, 5, 400, 10, 10, 410.70, 7.28242351, 29, 0.127868000000007, 322945, 35.4, 33.0
base-hc-64-3, 5, 400, 10, 10, 247.52, 4.32685860, , 0, , 36.1, 33.0
hc-64-3, 5, 400, 10, 10, 411.77, 7.28013568, 31, 0.0346990000000034, 343953, 41.8, 39.9
base-hc-64-3, 5, 400, 10, 10, 237.39, 4.29796602, , 0, , 44.1, 39.5
hc-64-3, 5, 400, 10, 10, 399.44, 7.19438171, 15, 0.122923, 168366, 36.9, 34.6
base-hc-64-3, 5, 400, 10, 10, 244.42, 4.31259982, , 0, , 39.9, 36.9
hc-64-3, 5, 400, 10, 10, 408.91, 7.29234026, 34, 0.0925000000000011, 379584, 38.6, 35.9
base-hc-64-3, 5, 400, 10, 10, 243.79, 4.33096301, , 0, , 40.6, 35.6
hc-64-3, 5, 400, 10, 10, 408.79, 7.24512849, 20, 0.098583000000005, 225164, 35.9, 32.8
base-hc-64-3, 5, 400, 10, 10, 243.16, 4.31099326, , 0, , 34.9, 34.5
hc-64-3, 5, 400, 10, 10, 411.62, 7.21792873, 16, 0.186558000000005, 182454, 35.0, 32.5
base-hc-64-3, 5, 400, 10, 10, 245.60, 4.30785740, , 0, , 35.2, 33.0
hc-64-3, 5, 400, 10, 10, 405.60, 7.23003838, 21, 0.396833999999998, 235195, 50.6, 33.5
base-hc-64-3, 5, 400, 10, 10, 246.55, 4.33284613, , 0, , 35.2, 33.2
hc-64-3, 5, 400, 10, 10, 412.87, 7.26889382, 35, 0.123561000000009, 389583, 64.0, 33.5
base-hc-64-3, 5, 400, 10, 10, 238.96, 4.29063140, , 0, , 35.9, 32.5
hc-64-3, 5, 400, 10, 10, 411.33, 7.26144493, 23, 0.0545720000000074, 262288, 37.9, 33.0
base-hc-64-3, 5, 400, 10, 10, 244.26, 4.32619749, , 0, , 42.8, 39.8
