work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-unbalanced-1, 10, 200, 25, 10, 409.78, 6.98271790, , 0, , 34.5, 33.0
unbalanced-1, 10, 200, 25, 10, 497.80, 9.48050086, 87, 4.88884300000001, 160870, 36.9, 33.4
base-unbalanced-1, 10, 200, 25, 10, 423.16, 7.18884328, , 0, , 35.0, 32.5
unbalanced-1, 10, 200, 25, 10, 435.94, 9.19145115, 46, 2.71191, 85363, 38.9, 35.1
base-unbalanced-1, 10, 200, 25, 10, 419.79, 7.17510774, , 0, , 35.9, 32.2
unbalanced-1, 10, 200, 25, 10, 727.07, 10.16016139, 31, 9.10650600000001, 57636, 58.0, 37.8
base-unbalanced-1, 10, 200, 25, 10, 504.28, 7.59765206, , 0, , 59.5, 36.1
unbalanced-1, 10, 200, 25, 10, 625.15, 9.91286402, 37, 9.52252900000001, 68712, 43.6, 38.8
base-unbalanced-1, 10, 200, 25, 10, 453.96, 7.29896831, , 0, , 45.6, 45.0
unbalanced-1, 10, 200, 25, 10, 652.35, 10.12221801, 45, 5.77453200000001, 83429, 47.6, 42.1
base-unbalanced-1, 10, 200, 25, 10, 446.44, 7.25155379, , 0, , 40.8, 35.6
unbalanced-1, 10, 200, 25, 10, 686.62, 10.15840802, 35, 2.15934700000001, 64907, 39.6, 33.0
base-unbalanced-1, 10, 200, 25, 10, 405.79, 7.06859668, , 0, , 37.9, 34.0
unbalanced-1, 10, 200, 25, 10, 514.90, 9.55051909, 38, 8.467303, 70393, 41.5, 36.1
base-unbalanced-1, 10, 200, 25, 10, 391.44, 6.95283152, , 0, , 39.4, 34.6
unbalanced-1, 10, 200, 25, 10, 479.93, 9.38193116, 61, 4.674209, 113096, 41.5, 38.2
base-unbalanced-1, 10, 200, 25, 10, 471.67, 7.32480771, , 0, , 40.8, 43.2
unbalanced-1, 10, 200, 25, 10, 453.13, 9.28901621, 42, 3.348693, 77951, 43.0, 37.5
base-unbalanced-1, 10, 200, 25, 10, 406.97, 7.09375525, , 0, , 40.8, 40.1
unbalanced-1, 10, 200, 25, 10, 694.67, 10.21390612, 65, 7.385687, 120163, 42.0, 38.2
base-unbalanced-1, 10, 200, 25, 10, 567.34, 7.49447558, , 0, , 46.8, 46.6
unbalanced-1, 10, 200, 25, 10, 726.97, 10.18651804, 59, 5.812521, 109357, 43.5, 40.9
base-unbalanced-1, 10, 200, 25, 10, 542.94, 7.51840193, , 0, , 46.8, 40.6
unbalanced-1, 10, 200, 25, 10, 600.17, 9.68226964, 31, 7.88364900000001, 57737, 37.4, 33.9
base-unbalanced-1, 10, 200, 25, 10, 338.08, 6.85902141, , 0, , 47.1, 40.9
unbalanced-1, 10, 200, 25, 10, 687.13, 10.18550323, 73, 4.99082900000001, 135003, 37.6, 35.1
base-unbalanced-1, 10, 200, 25, 10, 492.82, 7.26045876, , 0, , 50.4, 43.2
unbalanced-1, 10, 200, 25, 10, 541.78, 9.59056730, 33, 3.617526, 61229, 42.8, 40.4
base-unbalanced-1, 10, 200, 25, 10, 521.85, 7.50344102, , 0, , 39.6, 35.9
base-unbalanced-1, 5, 400, 10, 10, 535.09, 7.45731749, , 0, , 41.2, 39.2
unbalanced-1, 5, 400, 10, 10, 610.52, 9.64184592, 36, 0.145211000000003, 134366, 46.8, 41.6
base-unbalanced-1, 5, 400, 10, 10, 428.99, 6.97644337, , 0, , 43.2, 39.4
unbalanced-1, 5, 400, 10, 10, 594.33, 9.53765452, 25, 0.230730000000008, 93400, 37.9, 34.0
base-unbalanced-1, 5, 400, 10, 10, 443.89, 7.04796286, , 0, , 40.1, 35.9
unbalanced-1, 5, 400, 10, 10, 601.04, 9.54723479, 16, 0.244566000000006, 60013, 43.2, 37.8
base-unbalanced-1, 5, 400, 10, 10, 440.90, 7.01186753, , 0, , 40.6, 37.0
unbalanced-1, 5, 400, 10, 10, 599.93, 9.52356983, 12, 0.359320000000011, 45334, 49.4, 42.2
base-unbalanced-1, 5, 400, 10, 10, 431.42, 6.95009439, , 0, , 46.4, 36.4
unbalanced-1, 5, 400, 10, 10, 596.45, 9.51078700, 13, 0.106904999999998, 48925, 38.4, 34.1
base-unbalanced-1, 5, 400, 10, 10, 429.15, 6.98941584, , 0, , 40.8, 39.2
unbalanced-1, 5, 400, 10, 10, 604.32, 9.54563000, 17, 0.268770000000004, 63778, 49.4, 36.4
base-unbalanced-1, 5, 400, 10, 10, 432.17, 6.95840725, , 0, , 42.0, 35.9
unbalanced-1, 5, 400, 10, 10, 598.75, 9.58963115, 14, 0.0331200000000109, 52685, 39.1, 35.4
base-unbalanced-1, 5, 400, 10, 10, 435.92, 6.95963891, , 0, , 42.8, 38.0
