work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel, 5, 400, 10, 10, 15.83, 107.74, 17.17306800, , 0, , 60.0
intel, 5, 400, 10, 10, 22.92, 148.19, 23.87956968, 19, 0.188208000000031, 71247, 59.0
base-intel, 5, 400, 10, 10, 16.19, 106.88, 17.08128897, , 0, , 59.0
intel, 5, 400, 10, 10, 22.15, 148.70, 23.58859226, 28, 0.214308000000017, 104574, 60.0
base-intel, 5, 400, 10, 10, 23.29, 117.43, 19.48024880, , 0, , 61.0
intel, 5, 400, 10, 10, 31.71, 157.66, 26.37554090, 19, 0.30048800000003, 70942, 59.0
base-intel, 5, 400, 10, 10, 19.14, 110.33, 18.19830432, , 0, , 59.0
intel, 5, 400, 10, 10, 38.09, 165.93, 28.27063606, 25, 0.232252000000017, 93178, 61.0
base-intel, 5, 400, 10, 10, 22.25, 113.16, 19.10279841, , 0, , 65.0
intel, 5, 400, 10, 10, 21.46, 150.01, 23.46175226, 14, 0.135997000000032, 52708, 63.0
base-intel, 5, 400, 10, 10, 30.27, 126.72, 21.62946452, , 0, , 61.0
intel, 5, 400, 10, 10, 34.24, 162.54, 27.19544570, 21, 0.302275000000009, 78612, 61.0
base-intel, 5, 400, 10, 10, 29.62, 124.72, 21.12619998, , 0, , 62.0
intel, 5, 400, 10, 10, 34.29, 160.20, 27.16713100, 30, 0.085394000000008, 111862, 59.0
base-intel, 5, 400, 10, 10, 23.88, 116.06, 19.50063195, , 0, , 60.0
intel, 5, 400, 10, 10, 37.57, 161.69, 28.21806064, 20, 0.264072999999996, 74807, 60.0
base-intel, 5, 400, 10, 10, 24.55, 118.21, 19.49654406, , 0, , 60.0
intel, 5, 400, 10, 10, 38.26, 170.36, 28.16762038, 17, 0.240409, 63539, 60.0
base-intel, 5, 400, 10, 10, 32.07, 121.20, 22.37943194, , 0, , 62.0
intel, 5, 400, 10, 10, 23.43, 148.32, 24.15877136, 13, 0.242579000000035, 48806, 60.0
base-intel, 5, 400, 10, 10, 41.27, 140.40, 25.86548633, , 0, , 59.0
intel, 5, 400, 10, 10, 72.65, 215.31, 42.00028285, 14, 0.219633999999985, 52591, 61.0
base-intel, 5, 400, 10, 10, 49.39, 147.32, 29.46915987, , 0, , 60.0
intel, 5, 400, 10, 10, 32.30, 153.08, 26.69856602, 25, 0.120192000000031, 93401, 59.0
base-intel, 5, 400, 10, 10, 30.96, 127.86, 22.67083726, , 0, , 60.0
