work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-4, 10, 200, 25, 10, 482.66, 9.46077739, 32, 6.103447, 59399, 35.0, 33.0
base-taskset-4, 10, 200, 25, 10, 340.14, 6.94734348, , 0, , 42.8, 38.8
base-taskset-4, 5, 400, 10, 10, 343.36, 6.99227819, , 0, , 41.2, 38.8
taskset-4, 5, 400, 10, 10, 436.93, 9.27454208, 25, 0.208267999999997, 93178, 36.9, 33.0
base-taskset-4, 5, 400, 10, 10, 303.75, 6.89905553, , 0, , 42.2, 37.0
taskset-4, 5, 400, 10, 10, 412.27, 9.30713575, 14, 0.337596999999995, 52534, 44.6, 44.0
base-taskset-4, 5, 400, 10, 10, 316.15, 6.89651438, , 0, , 33.5, 31.0
taskset-4, 5, 400, 10, 10, 437.47, 9.24711429, 15, 0.249243999999997, 56234, 38.9, 35.9
base-taskset-4, 5, 400, 10, 10, 308.35, 6.87591382, , 0, , 35.9, 33.2
taskset-4, 5, 400, 10, 10, 439.39, 9.28006306, 27, 0.172947000000001, 100403, 41.8, 36.5
base-taskset-4, 5, 400, 10, 10, 347.96, 7.04506096, , 0, , 36.4, 34.4
taskset-4, 5, 400, 10, 10, 814.34, 10.67953025, 20, 0.226455999999999, 74987, 33.5, 31.0
base-taskset-4, 5, 400, 10, 10, 570.69, 7.83873571, , 0, , 37.4, 34.6
taskset-4, 5, 400, 10, 10, 762.41, 10.60234813, 16, 0.133992999999997, 60097, 49.6, 33.9
base-taskset-4, 5, 400, 10, 10, 574.31, 7.84466747, , 0, , 46.2, 33.9
taskset-4, 5, 400, 10, 10, 659.71, 10.11875016, 20, 0.028376999999999, 75038, 38.9, 35.9
base-taskset-4, 5, 400, 10, 10, 418.64, 7.24940513, , 0, , 35.4, 33.4
taskset-4, 5, 400, 10, 10, 577.72, 9.82935119, 40, 0.139620999999998, 148766, 34.5, 32.0
base-taskset-4, 5, 400, 10, 10, 331.07, 6.92415518, , 0, , 33.5, 31.5
taskset-4, 5, 400, 10, 10, 580.86, 9.87026122, 13, 0.311971, 48746, 34.0, 32.0
base-taskset-4, 5, 400, 10, 10, 449.17, 7.38552543, , 0, , 37.1, 33.4
taskset-4, 5, 400, 10, 10, 795.76, 10.66778913, 16, 0.423083999999996, 59939, 50.6, 35.4
base-taskset-4, 5, 400, 10, 10, 515.89, 7.47131108, , 0, , 38.4, 35.4
taskset-4, 5, 400, 10, 10, 677.92, 9.94719564, 26, 0.174686999999999, 97022, 40.8, 35.4
base-taskset-4, 5, 400, 10, 10, 525.44, 7.48079654, , 0, , 55.5, 34.4
taskset-4, 5, 400, 10, 10, 785.97, 10.55313274, 24, 0.169260999999999, 89884, 38.9, 34.9
base-taskset-4, 5, 400, 10, 10, 516.00, 7.66647961, , 0, , 36.4, 34.9
taskset-4, 5, 400, 10, 10, 678.99, 10.21224681, 30, 0.106608999999999, 111851, 53.1, 41.1
base-taskset-4, 5, 400, 10, 10, 354.35, 7.00955322, , 0, , 37.1, 34.5
taskset-4, 5, 400, 10, 10, 410.55, 9.29354270, 21, 0.0979689999999991, 78584, 34.2, 32.5
